#This file is Chinese collocation file
#Lines start with # are comments and will be ignored
#This file is used to extract the check-point of S:Collocation in C2E task
#The format is: [Chiese word 1]~[Pos 1]:Relation:[Pos 2]~[Chinese word 2] [English parts]

哀愁~a:attr:n~阴影	sadness~of~shadow
哀悼~v:obj:n~死亡	wail~v:obj:n~death
哀悼~v:obj:n~死者	lament~v:obj:n~dead
哀求~a:attr:n~叔叔	beseech~~uncle
哀求~a:attr:n~姿势	entreaty~of~gesture
哀求~v:obj:n~工作	plead~v:obj:n~job
哀求~v:obj:n~说	implore~v:obj:n~intercede
哀求~v:obj:n~姿势	entreaty~~gesture
哀叹~v:obj:n~耽延	lamentation~v:obj:n~delay
哀痛~v:mods:d~表现	abhor~~display
哀怨~a:attr:n~声音	pathos~~voice
挨~v:obj:n~出来	delay~~make
癌~v:mods:d~患者	cancer~~patient
癌症~v:mods:d~方法	cancer~~method
癌症~v:mods:d~专家	cancer~~specialist
矮~a:attr:n~床	low~a:attr:n~bed
矮~a:attr:n~棚屋	low~a:attr:n~shanty
矮~a:attr:n~探子	dwarfish~a:attr:n~spy
矮矮~a:attr:n~栎树	short~a:attr:n~oak
矮矮~a:attr:n~砖墙	low~a:attr:n~brick
矮矮~a:attr:n~砖屋	low~a:attr:n~brick
矮胖~a:attr:n~女人	plump~a:attr:n~woman
矮胖~a:attr:n~委托人	portly~a:attr:n~client
矮小~a:attr:n~裁缝	little~a:attr:n~dressmaker
矮小~a:attr:n~妇人	little~a:attr:n~woman
矮小~a:attr:n~汉子	small~a:attr:n~man
矮小~a:attr:n~男人	little~a:attr:n~man
矮小~a:attr:n~人	little~a:attr:n~man;size~~anybody
矮小~a:attr:n~沙丘	low~a:attr:n~dune
爱~a:attr:n~报酬	devotion~for~reward
爱~a:attr:n~饭	like~~dinner
爱~a:attr:n~歌	love~a:attr:n~song
爱~a:attr:n~孩子	love~~child
爱~a:attr:n~火	love~with~flame
爱~a:attr:n~妹妹	dear~a:attr:n~sister
爱~a:attr:n~女人	love~~woman
爱~a:attr:n~情人	affection~of~mistress
爱~a:attr:n~时光	love~possr~season
爱~a:attr:n~堂妹	love~~cousin
爱~a:attr:n~体会	passion~of~master
爱~a:attr:n~椅子	favorite~a:attr:n~chair
爱~a:attr:n~真谛	love~of~essence
爱~a:attr:n~侄女	love~~niece
爱~a:attr:n~主人	love~~master
爱~a:attr:n~姿态	love~a:attr:n~gesture
爱~v:mods:d~震响	love~tsub~vibrate
爱~v:obj:n~安排	like~~arrange
爱~v:obj:n~被告	love~v:obj:n~defendant
爱~v:obj:n~辩论	fond~~argument
爱~v:obj:n~地方	love~v:obj:n~place
爱~v:obj:n~读书	love~v:obj:n~read
爱~v:obj:n~儿子	love~v:obj:n~offspring
爱~v:obj:n~父亲	love~v:obj:n~father
爱~v:obj:n~忽视	love~~ignore
爱~v:obj:n~火	love~~flame
爱~v:obj:n~敬	love~crds~adore
爱~v:obj:n~军官	love~~military
爱~v:obj:n~昆虫	like~v:obj:n~insect
爱~v:obj:n~冒险	love~of~adventure
